✓,Card,Type,Color,View,Picked By,
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,Balbadorf,$J$23
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,Balbadorf,$J$16
✓,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,Balbadorf,$J$30
✓,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,drewshaver,$L$36
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,Balbadorf,$J$7
✓,"The Mechanist, Aerial Artisan",Legendary Creature — Human Artificer Ally,U,View,Balbadorf,$J$11
,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,,
,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,,
,Micromancer,Creature — Human Wizard,U,View,,
✓,Subtlety,Creature — Elemental Incarnation,U,View,joshez,$C$15
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,Balbadorf,$J$4
✓,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,drewshaver,$L$41
✓,Quantum Riddler,Creature — Sphinx,U,View,joshez,$C$6
✓,"Wan Shi Tong, All-Knowing",Legendary Creature — Bird Spirit,U,View,joshez,$C$22
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,Balbadorf,$J$39
✓,Torrential Gearhulk,Artifact Creature — Construct,U,View,joshez,$C$47
✓,Brainstorm,Instant,U,View,joshez,$C$10
✓,Consider,Instant,U,View,drewshaver,$L$44
✓,Fading Hope,Instant,U,View,drewshaver,$L$40
✓,Force Spike,Instant,U,View,drewshaver,$L$18
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,drewshaver,$L$20
✓,Stern Scolding,Instant,U,View,drewshaver,$L$19
✓,Thought Scour,Instant,U,View,drewshaver,$L$35
✓,Three Steps Ahead,Instant,U,View,Balbadorf,$J$18
✓,Consult the Star Charts,Instant,U,View,Balbadorf,$J$26
✓,Counterspell,Instant,U,View,joshez,$C$8
✓,Make Disappear,Instant,U,View,joshez,$C$19
✓,Mana Leak,Instant,U,View,drewshaver,$L$5
✓,Memory Lapse,Instant,U,View,Balbadorf,$J$8
✓,Miscalculation,Instant,U,View,joshez,$C$9
✓,Remand,Instant,U,View,joshez,$C$12
✓,Cryptic Command,Instant,U,View,joshez,$C$28
✓,Mystic Confluence,Instant,U,View,joshez,$C$5
✓,Sublime Epiphany,Instant,U,View,joshez,$C$20
✓,Commit // Memory,Instant,U,View,Balbadorf,$J$35
✓,Hard Evidence,Sorcery,U,View,Balbadorf,$J$24
✓,Ponder,Sorcery,U,View,Balbadorf,$J$14
✓,Preordain,Sorcery,U,View,Balbadorf,$J$15
,Chart a Course,Sorcery,U,View,,
✓,Stock Up,Sorcery,U,View,joshez,$C$14
✓,Unnerving Grasp,Sorcery,U,View,drewshaver,$L$43
,Winternight Stories,Sorcery,U,View,,
✓,Lórien Revealed,Sorcery,U,View,joshez,$C$16
✓,Temporal Manipulation,Sorcery,U,View,Balbadorf,$J$28
✓,Time Warp,Sorcery,U,View,Balbadorf,$J$27
✓,Treasure Cruise,Sorcery,U,View,Siddharth ,$H$43
✓,Aether Spellbomb,Artifact,U,View,Siddharth ,$H$28
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,Balbadorf,$J$17
✓,Cryptic Coat,Artifact — Equipment,U,View,Balbadorf,$J$13
✓,Stormchaser's Talent,Enchantment — Class,U,View,Balbadorf,$J$45
✓,Unable to Scream,Enchantment — Aura,U,View,drewshaver,$L$12
✓,Dress Down,Enchantment,U,View,joshez,$C$43
✓,Proft's Eidetic Memory,Legendary Enchantment,U,View,Balbadorf,$J$47
✓,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,joshez,$C$48
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,Balbadorf,$J$22
✓,Mystic Sanctuary,Land — Island,U,View,joshez,$C$42
✓,"Otawara, Soaring City",Legendary Land,U,View,joshez,$C$35
✓,Concealing Curtains,Creature — Wall,B,View,Siddharth ,$H$27
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,samp,$E$29
,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,,
✓,Nethergoyf,Creature — Lhurgoyf,B,View,samp,$E$31
✓,Stalactite Stalker,Creature — Goblin Rogue,B,View,samp,$E$37
,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,,
✓,Bloodghast,Creature — Vampire Spirit,B,View,samp,$E$27
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,samp,$E$46
✓,Dark Confidant,Creature — Human Wizard,B,View,Siddharth ,$H$33
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,Bludac,$D$10
✓,Deep-Cavern Bat,Creature — Bat,B,View,Siddharth ,$H$15
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,samp,$E$32
✓,Marionette Apprentice,Creature — Human Artificer,B,View,samp,$E$11
✓,Misery's Shadow,Creature — Shade,B,View,Siddharth ,$H$41
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,samp,$E$26
✓,Sinkhole Surveyor,Creature — Bird Scout,B,View,samp,$E$30
,Sunset Saboteur,Creature — Human Rogue,B,View,,
✓,Tenacious Underdog,Creature — Human Warrior,B,View,samp,$E$39
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,Siddharth ,$H$34
,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,,
✓,Ophiomancer,Creature — Human Shaman,B,View,samp,$E$38
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,samp,$E$25
✓,Raven Eagle,Creature — Bird Assassin,B,View,Bludac,$D$39
,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,,
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,samp,$E$6
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,samp,$E$40
,Woe Strider,Creature — Horror,B,View,,
,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,,
✓,Grief,Creature — Elemental Incarnation,B,View,Bludac,$D$6
,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,,
✓,"Rankle, Master of Pranks",Legendary Creature — Faerie Rogue,B,View,samp,$E$47
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,samp,$E$5
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,samp,$E$7
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,samp,$E$9
✓,Crabomination,Creature — Crab Demon,B,View,samp,$E$33
,Grave Titan,Creature — Giant,B,View,,
