,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Quag Feast,Spectacular Spider-Man,"Kari Zev, Skyship Raider",Tersa Lightshatter,Agatha's Soul Cauldron,Stomping Ground,Abrade,Breeding Pool,Sylvan Safekeeper,Abandoned Air Temple,,,,↩,,,,,,,,B,W,R,R,C,RG,R,UG,G,W
20,↪,Duress,Concealed Courtyard,Heartfire Hero,Stormchaser's Talent,Iroh's Demonstration,Ophiomancer,"Saheeli, Sublime Artificer",Hedge Maze,Endurance,"Otawara, Soaring City",,,,,,,,,,,,B,WB,R,U,R,,,UG,G,U
21,,Creeping Tar Pit,Sheoldred's Edict,Monstrous Rage,Grim Lavamancer,Sacred Foundry,Birthing Ritual,Pyrite Spellbomb,Blooming Marsh,"Nissa, Who Shakes the World",Mockingbird,,,,↩,,,,,,,,UB,B,R,R,WR,B,UR,BG,G,U
22,↪,Life // Death,Damn,Goblin Rabblemaster,Consider,Luminarch Aspirant,Dark Confidant,Thundering Falls,Floodpits Drowner,Vaultborn Tyrant,Phantasmal Shieldback,,,,,,,,,,,,BG,WB,R,U,W,B,UR,U,G,U
23,,Bone Shards,Miscalculation,Goblin Bombardment,Thought Scour,Eagles of the North,Restless Cottage,"Karn, Scion of Urza",Brazen Borrower,Temple Garden,Temple Garden 2,,,,↩,,,,,,,,B,U,R,U,W,BG,C,U,WG,WG
24,↪,Damnation,Reckoner Bankbuster,Marauding Mako,Make Disappear,Mana Tithe,The Meathook Massacre,Fire Magic,Lush Portico,"Surrak, Elusive Hunter",Hard Evidence,,,,,,,,,,,,B,C,R,U,W,B,R,WG,G,U
25,,"Cecil, Dark Knight",Faerie Mastermind,Voldaren Epicure,Ghostfire Slice,Unexpectedly Absent,Infernal Grasp,Cryptic Command,Utopia Sprawl,"Lumra, Bellow of the Woods",Thraben Inspector,,,,↩,,,,,,,,WB,U,R,R,W,B,U,G,G,
26,↪,Godless Shrine 2,Lingering Souls,Raucous Theater,Proft's Eidetic Memory,Seasoned Pyromancer,Fell the Profane,Temporal Manipulation,Murderous Cut,Stomping Ground 2,Novice Inspector,,,,,,,,,,,,WB,WB,BR,U,R,B,U,B,RG,
27,,Liliana of the Veil,Priest of Fell Rites,Blood Crypt 2,Sacred Foundry 2,Figure of Destiny,Grief,Mystic Sanctuary,Cut Down,Wrenn and Six,Assimilation Aegis,,,,,,,,,,,,B,WB,BR,WR,WR,B,U,B,RG,
28,,Virtue of Persistence,Three Steps Ahead,Blood Crypt,Showdown of the Skalds,Overlord of the Mistmoors,"Boseiju, Who Endures",Legion Extruder,Generous Ent,Commercial District,Dissection Tools,,,,↩,,,,,,,,B,U,BR,WR,W,G,R,G,RG,C
29,,Fell,Cathar Commando,Blackcleave Cliffs,Inspiring Vantage,Glimmer Lens,Warren Soultrader,Talisman of Creativity,Ulvenwald Oddity,Bristlebud Farmer,Micromancer,,,,,,,,,,,,B,W,BR,WR,W,B,UR,G,G,U
