,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Time Warp,Searslicer Goblin,Portable Hole,Sheoldred's Edict,Blackcleave Cliffs,The Great Henge,"Lutri, the Spellchaser",Relic of Progenitus,Bristlebud Farmer,Voldaren Epicure,,,↩,,,,,,,,U,R,W,B,BR,G,UR,C,G,R
20,↪,Oust,Serra Paragon,Novice Inspector,Damnation,Detective's Phoenix,"Rofellos, Llanowar Emissary",Chain Lightning,Batterskull,Keen-Eyed Curator,Spyglass Siren,,,,,,,,,,,W,W,W,B,R,G,R,C,G,U
21,,Prismatic Ending,"Adeline, Resplendent Cathar","Eiganjo, Seat of the Empire","Otawara, Soaring City",Godless Shrine,Temple Garden,Nethergoyf,"Karn, Scion of Urza",Ulvenwald Oddity,Spikefield Hazard,,,↩,,,,,,,,W,W,W,U,WB,WG,B,C,G,R
22,,Temple Garden 2,Inspiring Vantage,Witch Enchanter,Concealing Curtains,Luminarch Aspirant,Utopia Sprawl,Fire Magic,Retrofitter Foundry,Scavenging Ooze,Hard Evidence,,,,,,,,,,,WG,WR,W,B,W,G,R,C,G,U
23,↪,"Teferi, Hero of Dominaria","Kytheon, Hero of Akros",Skyclave Apparition,Watery Grave 2,Shadowy Backstreet,Llanowar Elves,Grave Titan,Assimilation Aegis,Breeding Pool 2,Treasure Cruise,,,,,,,,,,,WU,W,W,UB,WB,G,B,WU,UG,U
24,,Stern Scolding,Virtue of Loyalty,Unidentified Hovership,Fallen Shinobi,Lurrus of the Dream-Den,Elvish Mystic,Arena of Glory,Sublime Epiphany,Hydroid Krasis,Thought Scour,,,,,,,,,,,U,W,W,UB,WB,G,R,U,UG,U
25,,Meticulous Archive,Sanguine Evangelist,Selfless Spirit,Creeping Tar Pit,Concealed Courtyard,"Nissa, Who Shakes the World","Ivora, Insatiable Heir",Celestial Colonnade,Fires of Invention,Dragon's Rage Channeler,,,↩,,,,,,,,WU,W,W,UB,WB,G,R,WU,R,R
26,,Hedge Maze,Elegant Parlor,Cosmogrand Zenith,Baleful Strix,Restless Vents,Voracious Hydra,Faithless Looting,Hangarback Walker,Glissa Sunslayer,Unholy Heat,,,,,,,,,,,UG,WR,W,UB,BR,G,R,C,BG,R
27,↪,No More Lies,Kumano Faces Kakkazan,Containment Priest,Virtue of Persistence,Infernal Grasp,"Nissa, Ascended Animist",Caustic Bronco,Staff of the Storyteller,"Golos, Tireless Pilgrim",Gingerbrute,,,,,,,,,,,WU,R,W,B,B,G,B,W,WUBRG,C
28,,Three Steps Ahead,Clarion Spirit,Restoration Angel,Faerie Mastermind,Chthonian Nightmare,Lumbering Worldwagon,Bloodtithe Harvester,Monastery Mentor,Field of the Dead,Burst Lightning,,,,,,,,,,,U,W,W,U,B,G,BR,W,C,R
29,,Supreme Verdict,Descendant of Storms,Godless Shrine 2,Cut Down,"Jadar, Ghoulcaller of Nephalia",Titan of Industry,Abrade,Wedding Announcement,Outcaster Trailblazer,Sink into Stupor,,,↩,,,,,,,,WU,W,WB,B,B,G,R,W,G,U
