✓,Card,Type,Color,View,Picked By,
✓,Iroh's Demonstration,Sorcery — Lesson,R,View,aidybaby,$F$35
✓,Mizzium Mortars,Sorcery,R,View,nicKnaack,$I$32
✓,Mizzix's Mastery,Sorcery,R,View,Adhavoc,$D$39
✓,Pyrite Spellbomb,Artifact,R,View,aidybaby,$F$40
✓,Chainsaw,Artifact — Equipment,R,View,aidybaby,$F$29
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,aidybaby,$F$5
,Legion Extruder,Artifact,R,View,,
,Embercleave,Legendary Artifact — Equipment,R,View,,
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,aidybaby,$F$38
✓,Goblin Bombardment,Enchantment,R,View,aidybaby,$F$9
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Adhavoc,$D$4
,Fires of Invention,Enchantment,R,View,,
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,nicKnaack,$I$19
✓,Arena of Glory,Land,R,View,Adhavoc,$D$13
✓,Birds of Paradise,Creature — Bird,G,View,nicKnaack,$I$7
✓,Elvish Mystic,Creature — Elf Druid,G,View,nicKnaack,$I$23
✓,Llanowar Elves,Creature — Elf Druid,G,View,arborist77,$K$23
✓,Molt Tender,Creature — Insect Druid,G,View,arborist77,$K$24
,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,,
,Sazh's Chocobo,Creature — Bird,G,View,,
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,arborist77,$K$22
✓,Badgermole Cub,Creature — Badger Mole,G,View,arborist77,$K$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,arborist77,$K$9
✓,Cankerbloom,Creature — Phyrexian Fungus,G,View,arborist77,$K$35
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,Jack,$G$14
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,Jack,$G$35
✓,Lotus Cobra,Creature — Snake,G,View,Jack,$G$20
,Nishoba Brawler,Creature — Cat Warrior,G,View,,
,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,,
✓,Scavenging Ooze,Creature — Ooze,G,View,nicKnaack,$I$34
✓,Scythecat Cub,Creature — Cat,G,View,Jack,$G$6
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,arborist77,$K$5
✓,Sylvan Caryatid,Creature — Plant,G,View,Jack,$G$27
,Tarmogoyf,Creature — Lhurgoyf,G,View,,
,Tough Cookie,Artifact Creature — Food Golem,G,View,,
✓,Voracious Hydra,Creature — Hydra,G,View,Jack,$G$25
✓,Endurance,Creature — Elemental Incarnation,G,View,Jack,$G$13
✓,Eternal Witness,Creature — Human Shaman,G,View,nicKnaack,$I$37
✓,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,arborist77,$K$42
✓,Sandstorm Salvager,Creature — Human Artificer,G,View,Jack,$G$32
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,nicKnaack,$I$14
✓,Six,Legendary Creature — Treefolk,G,View,arborist77,$K$11
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,nicKnaack,$I$16
✓,Tireless Tracker,Creature — Human Scout,G,View,Jack,$G$19
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,arborist77,$K$29
✓,Icetill Explorer,Creature — Insect Scout,G,View,arborist77,$K$14
,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,,
✓,Questing Beast,Legendary Creature — Beast,G,View,nicKnaack,$I$25
✓,Timeless Witness,Creature — Human Shaman,G,View,arborist77,$K$44
✓,Ulvenwald Oddity,Creature — Beast,G,View,Jack,$G$39
✓,Agonasaur Rex,Creature — Dinosaur,G,View,Jack,$G$44
✓,Balustrade Wurm,Creature — Wurm,G,View,Jack,$G$45
,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,,
✓,Thragtusk,Creature — Beast,G,View,Jack,$G$41
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,arborist77,$K$13
✓,Generous Ent,Creature — Treefolk,G,View,nicKnaack,$I$29
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,arborist77,$K$45
✓,Primeval Titan,Creature — Giant,G,View,Jack,$G$26
✓,Titan of Industry,Creature — Elemental,G,View,Jack,$G$21
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,arborist77,$K$21
,Woodfall Primus,Creature — Treefolk Shaman,G,View,,
✓,Inscription of Abundance,Instant,G,View,nicKnaack,$I$35
✓,Green Sun's Zenith,Sorcery,G,View,arborist77,$K$20
✓,Pest Infestation,Sorcery,G,View,nicKnaack,$I$24
✓,Primal Might,Sorcery,G,View,Jack,$G$46
✓,Esper Origins,Sorcery,G,View,arborist77,$K$26
✓,Malevolent Rumble,Sorcery,G,View,arborist77,$K$12
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,arborist77,$K$30
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,nicKnaack,$I$15
✓,The Great Henge,Legendary Artifact,G,View,nicKnaack,$I$41
,Exploration,Enchantment,G,View,,
✓,Utopia Sprawl,Enchantment — Aura,G,View,nicKnaack,$I$30
,Birthing Ritual,Enchantment,G,View,,
✓,Hunter's Talent,Enchantment — Class,G,View,nicKnaack,$I$43
✓,Innkeeper's Talent,Enchantment — Class,G,View,Jack,$G$40
,Ranger Class,Enchantment — Class,G,View,,
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,Jack,$G$22
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,Jack,$G$16
✓,"Boseiju, Who Endures",Legendary Land,G,View,nicKnaack,$I$18
✓,Shifting Woodland,Land,G,View,arborist77,$K$27
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,gogey,$L$43
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,gogey,$L$17
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,giya76,$J$20
✓,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,gogey,$L$42
✓,No More Lies,Instant,WU,View,giya76,$J$16
✓,Supreme Verdict,Sorcery,WU,View,gogey,$L$27
✓,Talisman of Progress,Artifact,WU,View,gogey,$L$37
✓,Assimilation Aegis,Artifact — Equipment,WU,View,giya76,$J$31
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,gogey,$L$6
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,Jack,$G$17
✓,Celestial Colonnade,Land,WU,View,gogey,$L$23
✓,Hallowed Fountain,Land — Plains Island,WU,View,giya76,$J$14
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,gogey,$L$14
✓,Meticulous Archive,Land — Plains Island,WU,View,gogey,$L$22
✓,Seachrome Coast,Land,WU,View,giya76,$J$24
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,dkriddles,$E$14
✓,Priest of Fell Rites,Creature — Human Warlock,WB,View,Andrew 420,$H$45
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,aidybaby,$F$47
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,aidybaby,$F$6
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Damn,Sorcery,WB,View,gogey,$L$44
✓,Lingering Souls,Sorcery,WB,View,aidybaby,$F$48
,Concealed Courtyard,Land,WB,View,,
