 ,Card,Type,Color,View,UR,
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,Tendertouch,$F$24
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,clong,$K$23
✓,The Great Henge,Legendary Artifact,G,View,Tendertouch,$F$44
✓,Exploration,Enchantment,G,View,Nova,$J$48
,Utopia Sprawl,Enchantment — Aura,G,View,,
,Birthing Ritual,Enchantment,G,View,,
✓,Hunter's Talent,Enchantment — Class,G,View,Nova,$J$31
✓,Innkeeper's Talent,Enchantment — Class,G,View,Tendertouch,$F$33
,Ranger Class,Enchantment — Class,G,View,,
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,Nova,$J$34
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,Tendertouch,$F$40
✓,"Boseiju, Who Endures",Legendary Land,G,View,Nova,$J$30
✓,Shifting Woodland,Land,G,View,Tendertouch,$F$34
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,dillon_k,$G$44
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,dillon_k,$G$29
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,dillon_k,$G$48
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,No More Lies,Instant,WU,View,dillon_k,$G$20
✓,Supreme Verdict,Sorcery,WU,View,dillon_k,$G$30
✓,Talisman of Progress,Artifact,WU,View,dillon_k,$G$45
✓,Assimilation Aegis,Artifact — Equipment,WU,View,dillon_k,$G$34
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,dillon_k,$G$8
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,Mr. Fancypants,$L$32
✓,Celestial Colonnade,Land,WU,View,Mr. Fancypants,$L$9
✓,Hallowed Fountain,Land — Plains Island,WU,View,dillon_k,$G$11
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,Mr. Fancypants,$L$31
✓,Meticulous Archive,Land — Plains Island,WU,View,dillon_k,$G$32
✓,Seachrome Coast,Land,WU,View,dillon_k,$G$37
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,Keith,$D$17
,Priest of Fell Rites,Creature — Human Warlock,WB,View,,
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,philjackson,$H$48
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,Nova,$J$47
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Damn,Sorcery,WB,View,Greg,$I$44
,Lingering Souls,Sorcery,WB,View,,
✓,Concealed Courtyard,Land,WB,View,philjackson,$H$43
,Godless Shrine,Land — Plains Swamp,WB,View,,
✓,Godless Shrine 2,Land — Plains Swamp,WB,View,philjackson,$H$21
✓,Restless Fortress,Land,WB,View,philjackson,$H$47
