,,Rotisserie Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Hunter's Talent,Forsaken Miner,Relic of Progenitus,Talisman of Conviction,Spyglass Siren,Tenacious Underdog,"Otawara, Soaring City",Tireless Provisioner,Watery Grave 2,Restoration Angel,,,↩,,,,,,,,G,B,C,WR,U,B,U,G,UB,W
20,↪,Elvish Mystic,Bloodghast,Detective's Phoenix,Portable Hole,"Chandra, Torch of Defiance",Liliana of the Veil,Sublime Epiphany,Inscription of Abundance,Watery Grave,Seachrome Coast,,,,,,,,,,,G,B,R,W,R,B,U,G,UB,WU
21,,Utopia Sprawl,Blackcleave Cliffs,"Adeline, Resplendent Cathar",Concealed Courtyard,Spirebluff Canal,Glissa Sunslayer,Stern Scolding,Molt Tender,Baleful Strix,Containment Priest,,,↩,,,,,,,,G,BR,W,WB,UR,BG,U,G,UB,W
22,,Serra Paragon,"Jadar, Ghoulcaller of Nephalia",Batterskull,Hangarback Walker,"Magda, Brazen Outlaw",Fell,Torrential Gearhulk,Llanowar Elves,Chart a Course,Flickerwisp,,,,,,,,,,,W,B,C,C,R,B,U,G,U,W
23,↪,"Plagon, Lord of the Beach",Restless Vents,Cori-Steel Cutter,Inspiring Vantage,Kumano Faces Kakkazan,Elegy Acolyte,Sink into Stupor,Overlord of the Hauntwoods,Ledger Shredder,Ranger-Captain of Eos,,,,,,,,,,,WU,BR,R,WR,R,B,U,G,U,W
24,,Zack Fair,Shadowy Backstreet,Restless Bivouac,Inquisition of Kozilek,Screaming Nemesis,Preacher of the Schism,"Lutri, the Spellchaser",Hydroid Krasis,Mockingbird,Witch Enchanter,,,,,,,,,,,W,WB,WR,B,R,B,UR,UG,U,W
25,,Eternal Witness,Bloodsoaked Champion,Clarion Spirit,Kolaghan's Command,Make Disappear,Ranger Class,Commit // Memory,Kishla Skimmer,Palantír of Orthanc,Condemn,,,↩,,,,,,,,G,B,W,BR,U,G,U,UG,C,W
26,,Sevinne's Reclamation,Mayhem Devil,Imodane's Recruiter,Pyrite Spellbomb,Floodpits Drowner,Sheoldred's Edict,Hard Evidence,Restless Vinestalk,"Cecil, Dark Knight",Luminarch Aspirant,,,,,,,,,,,W,BR,WR,R,U,B,U,UG,WB,W
27,↪,Assimilation Aegis,Damn,Eagles of the North,Scavenger's Talent,Grim Lavamancer,Unholy Heat,Miscalculation,"Nissa, Ascended Animist","Yuriko, the Tiger's Shadow",Intrepid Adversary,,,,,,,,,,,WU,WB,W,B,R,R,U,G,UB,W
28,,Goldvein Hydra,Go for the Throat,Esper Sentinel,Michiko's Reign of Truth,Ghostfire Slice,Bristlebud Farmer,Reckoner Bankbuster,"Skysovereign, Consul Flagship",Norman Osborn,Wedding Announcement,,,,,,,,,,,G,B,W,W,R,G,C,C,UBR,W
29,,Sylvan Caryatid,Vanishing Verse,"Eiganjo, Seat of the Empire",Sheltered by Ghosts,Oliphaunt,Balustrade Wurm,Fading Hope,Generous Ent,Fires of Invention,"Cloud, Midgar Mercenary",,,↩,,,,,,,,G,WB,W,W,R,G,U,G,R,W
30,,"Rona, Herald of Invasion",Sanguine Evangelist,Barbed Spike,Bloodchief's Thirst,Glorybringer,Nethergoyf,Shark Typhoon,Bridgeworks Battle,Trumpeting Carnosaur,Nettlecyst,,,,,,,,,,,UB,W,W,B,R,B,U,G,R,C
31,↪,Temple Garden 2,Scrapwork Mutt,Cosmogrand Zenith,Damnation,Spikefield Hazard,Duress,Vendilion Clique,Keen-Eyed Curator,Fell the Profane,Cryptic Coat,,,,,,,,,,,WG,R,W,B,R,B,U,G,B,U
