,Card,Type,Color,View,Picked By,
✓,Vanishing Verse,Instant,WB,View,ILIJILILI,$D$32
✓,Damn,Sorcery,WB,View,ILIJILILI,$D$30
✓,Lingering Souls,Sorcery,WB,View,ILIJILILI,$D$18
✓,Concealed Courtyard,Land,WB,View,lastabzan,$F$24
✓,Godless Shrine,Land — Plains Swamp,WB,View,lastabzan,$F$21
✓,Godless Shrine 2,Land — Plains Swamp,WB,View,ILIJILILI,$D$21
✓,Restless Fortress,Land,WB,View,lastabzan,$F$42
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,ILIJILILI,$D$27
✓,Imodane's Recruiter,Creature — Human Knight,WR,View,adhavoc,$E$29
✓,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,adhavoc,$E$35
✓,"Phlage, Titan of Fire's Fury",Legendary Creature — Elder Giant,WR,View,adhavoc,$E$6
,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,,
,Lightning Helix,Instant,WR,View,,
✓,Talisman of Conviction,Artifact,WR,View,lastabzan,$F$22
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,adhavoc,$E$46
✓,Elegant Parlor,Land — Mountain Plains,WR,View,adhavoc,$E$19
✓,Inspiring Vantage,Land,WR,View,lastabzan,$F$26
✓,Restless Bivouac,Land,WR,View,adhavoc,$E$27
✓,Sacred Foundry,Land — Mountain Plains,WR,View,adhavoc,$E$15
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,ILIJILILI,$D$15
,Voice of Resurgence,Creature — Elemental,WG,View,,
,Knight of Autumn,Creature — Dryad Knight,WG,View,,
,Knight of the Reliquary,Creature — Human Knight,WG,View,,
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
✓,Cosmic Rebirth,Instant,WG,View,coopergfrye,$C$47
✓,Lush Portico,Land — Forest Plains,WG,View,coopergfrye,$C$42
✓,Razorverge Thicket,Land,WG,View,coopergfrye,$C$43
,Stirring Wildwood,Land,WG,View,,
,Temple Garden,Land — Forest Plains,WG,View,,
✓,Temple Garden 2,Land — Forest Plains,WG,View,coopergfrye,$C$34
✓,Baleful Strix,Artifact Creature — Bird,UB,View,tendertouch,$K$24
,"Lazav, Wearer of Faces",Legendary Creature — Shapeshifter Detective,UB,View,,
✓,"Rona, Herald of Invasion",Legendary Creature — Human Wizard,UB,View,coopergfrye,$C$33
✓,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,tendertouch,$K$30
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,tendertouch,$K$5
,Talisman of Dominance,Artifact,UB,View,,
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,tendertouch,$K$36
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,tendertouch,$K$46
✓,Creeping Tar Pit,Land,UB,View,tendertouch,$K$41
,Darkslick Shores,Land,UB,View,,
✓,Undercity Sewers,Land — Island Swamp,UB,View,tendertouch,$K$43
✓,Watery Grave,Land — Island Swamp,UB,View,tendertouch,$K$23
✓,Watery Grave 2,Land — Island Swamp,UB,View,tendertouch,$K$22
✓,Sprite Dragon,Creature — Faerie Dragon,UR,View,dkriddles,$G$48
,Third Path Iconoclast,Creature — Human Monk,UR,View,,
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,gogey,$I$27
,Vivi Ornitier,Legendary Creature — Wizard,UR,View,,
,Prismari Command,Instant,UR,View,,
✓,Magma Opus,Instant,UR,View,gogey,$I$48
,Expressive Iteration,Sorcery,UR,View,,
,Silverbluff Bridge,Artifact Land,UR,View,,
,Talisman of Creativity,Artifact,UR,View,,
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,gogey,$I$43
✓,Spirebluff Canal,Land,UR,View,dkriddles,$G$24
✓,Steam Vents,Land — Island Mountain,UR,View,dkriddles,$G$16
✓,Steam Vents 2,Land — Island Mountain,UR,View,adhavoc,$E$16
✓,Thundering Falls,Land — Island Mountain,UR,View,tendertouch,$K$20
✓,"Tamiyo, Inquisitive Student",Legendary Creature — Moonfolk Wizard,UG,View,coopergfrye,$C$4
✓,Genemorph Imago,Creature — Insect Druid,UG,View,coopergfrye,$C$48
✓,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,clorpy,$J$27
✓,Kishla Skimmer,Creature — Bird Scout,UG,View,clorpy,$J$28
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,clorpy,$J$7
,"Tamiyo, Collector of Tales",Legendary Planeswalker — Tamiyo,UG,View,,
✓,Botanical Sanctum,Land,UG,View,clorpy,$J$44
✓,Breeding Pool,Land — Forest Island,UG,View,clorpy,$J$14
✓,Breeding Pool 2,Land — Forest Island,UG,View,coopergfrye,$C$15
✓,Hedge Maze,Land — Forest Island,UG,View,clorpy,$J$16
✓,Restless Vinestalk,Land,UG,View,clorpy,$J$29
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,ILIJILILI,$D$44
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,ILIJILILI,$D$36
✓,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,philjackson,$H$47
,"Judith, the Scourge Diva",Legendary Creature — Human Shaman,BR,View,,
✓,Mayhem Devil,Creature — Devil,BR,View,ILIJILILI,$D$29
✓,Kolaghan's Command,Instant,BR,View,lastabzan,$F$28
✓,Claim // Fame,Sorcery,BR,View,lastabzan,$F$46
✓,Blackcleave Cliffs,Land,BR,View,ILIJILILI,$D$24
✓,Blood Crypt,Land — Swamp Mountain,BR,View,philjackson,$H$16
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,ILIJILILI,$D$17
✓,Raucous Theater,Land — Swamp Mountain,BR,View,tendertouch,$K$21
✓,Restless Vents,Land,BR,View,ILIJILILI,$D$26
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,lastabzan,$F$7
,Wight of the Reliquary,Creature — Zombie Knight,BG,View,,
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,philjackson,$H$24
,The Gitrog Monster,Legendary Creature — Frog Horror,BG,View,,
✓,Abrupt Decay,Instant,BG,View,philjackson,$H$39
✓,Tear Asunder,Instant,BG,View,philjackson,$H$35
,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,,
✓,Blooming Marsh,Land,BG,View,philjackson,$H$46
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,philjackson,$H$17
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,coopergfrye,$C$35
✓,Restless Cottage,Land,BG,View,philjackson,$H$43
✓,Underground Mortuary,Land — Swamp Forest,BG,View,philjackson,$H$44
,Territorial Kavu,Creature — Kavu,RG,View,,
,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,,
,Bloodbraid Elf,Creature — Elf Berserker,RG,View,,
,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,,
,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,,
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,clorpy,$J$4
✓,Commercial District,Land — Mountain Forest,RG,View,philjackson,$H$36
✓,Copperline Gorge,Land,RG,View,clorpy,$J$46
✓,Raging Ravine,Land,RG,View,clorpy,$J$38
✓,Stomping Ground,Land — Mountain Forest,RG,View,clorpy,$J$19
✓,Stomping Ground 2,Land — Mountain Forest,RG,View,coopergfrye,$C$36
,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,,
,"Satya, Aetherflux Genius",Legendary Creature — Human Artificer,WUR,View,,
✓,Noble Hierarch,Creature — Human Druid,WUG,View,coopergfrye,$C$6
,Urban Retreat,Land,WUG,View,,
✓,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,tendertouch,$K$31
✓,Oscorp Industries,Land,UBR,View,tendertouch,$K$47
,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,,
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,coopergfrye,$C$5
,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,,
✓,"Golos, Tireless Pilgrim",Legendary Artifact Creature — Scout,WUBRG,View,coopergfrye,$C$39
✓,Hangarback Walker,Artifact Creature — Construct,C,View,lastabzan,$F$25
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,lastabzan,$F$39
,Scrawling Crawler,Artifact Creature — Phyrexian Construct,C,View,,
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,tendertouch,$K$40
,Cityscape Leveler,Artifact Creature — Construct,C,View,,
✓,Chrome Mox,Artifact,C,View,aviseras,$L$7
✓,Mishra's Bauble,Artifact,C,View,gogey,$I$11
✓,Mox Opal,Legendary Artifact,C,View,lastabzan,$F$6
✓,Chromatic Sphere,Artifact,C,View,lastabzan,$F$36
✓,Chromatic Star,Artifact,C,View,lastabzan,$F$16
✓,Currency Converter,Artifact,C,View,lastabzan,$F$5
✓,Relic of Progenitus,Artifact,C,View,adhavoc,$E$22
✓,Retrofitter Foundry,Artifact,C,View,gogey,$I$10
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,lastabzan,$F$13
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,gogey,$I$31
✓,Smuggler's Copter,Artifact — Vehicle,C,View,ILIJILILI,$D$11
,Monument to Endurance,Artifact,C,View,,
✓,Nettlecyst,Artifact — Equipment,C,View,aviseras,$L$33
✓,Palantír of Orthanc,Legendary Artifact,C,View,tendertouch,$K$28
✓,Sword of Fire and Ice,Artifact — Equipment,C,View,aviseras,$L$35
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,adhavoc,$E$41
✓,Batterskull,Artifact — Equipment,C,View,adhavoc,$E$25
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,clorpy,$J$31
,Nexus of Becoming,Artifact,C,View,,
✓,Kaldra Compleat,Legendary Artifact — Equipment,C,View,adhavoc,$E$36
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,gogey,$I$45
✓,Ancient Tomb,Land,C,View,dkriddles,$G$6
✓,Arid Mesa,Land,C,View,adhavoc,$E$9
✓,Arid Mesa 2,Land,C,View,adhavoc,$E$13
✓,Blinkmoth Nexus,Land,C,View,gogey,$I$46
✓,Bloodstained Mire,Land,C,View,ILIJILILI,$D$8
✓,Bloodstained Mire 2,Land,C,View,philjackson,$H$11
✓,Field of the Dead,Land,C,View,coopergfrye,$C$38
✓,Flooded Strand,Land,C,View,aviseras,$L$17
✓,Flooded Strand 2,Land,C,View,coopergfrye,$C$16
✓,Marsh Flats,Land,C,View,ILIJILILI,$D$13
✓,Marsh Flats 2,Land,C,View,ILIJILILI,$D$14
✓,Misty Rainforest,Land,C,View,coopergfrye,$C$8
✓,Misty Rainforest 2,Land,C,View,coopergfrye,$C$7
✓,Mutavault,Land,C,View,gogey,$I$37
✓,Polluted Delta,Land,C,View,tendertouch,$K$17
✓,Polluted Delta 2,Land,C,View,tendertouch,$K$16
✓,Prismatic Vista,Land,C,View,lastabzan,$F$18
✓,Scalding Tarn,Land,C,View,clorpy,$J$10
✓,Scalding Tarn 2,Land,C,View,dkriddles,$G$12
✓,Strip Mine,Land,C,View,clorpy,$J$5
✓,Verdant Catacombs,Land,C,View,philjackson,$H$12
✓,Verdant Catacombs 2,Land,C,View,coopergfrye,$C$12
✓,Windswept Heath,Land,C,View,coopergfrye,$C$14
✓,Windswept Heath 2,Land,C,View,coopergfrye,$C$13
✓,Wooded Foothills,Land,C,View,clorpy,$J$8
✓,Wooded Foothills 2,Land,C,View,clorpy,$J$11
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
