,Card,Type,Color,View,Picked By,
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,gogey,$I$35
✓,Spyglass Siren,Creature — Siren Pirate,U,View,dkriddles,$G$22
✓,Duelist of the Mind,Creature — Human Advisor,U,View,gogey,$I$44
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,gogey,$I$20
✓,Floodpits Drowner,Creature — Merfolk,U,View,dkriddles,$G$29
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,gogey,$I$40
,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,,
✓,Ledger Shredder,Creature — Bird Advisor,U,View,tendertouch,$K$26
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,dkriddles,$G$20
,Mischievous Mystic,Creature — Human Wizard,U,View,,
,Phantasmal Image,Creature — Illusion,U,View,,
✓,Silent Hallcreeper,Enchantment Creature — Horror,U,View,dkriddles,$G$45
✓,Snapcaster Mage,Creature — Human Wizard,U,View,gogey,$I$13
,Abhorrent Oculus,Creature — Eye,U,View,,
✓,Brazen Borrower,Creature — Faerie Rogue,U,View,dkriddles,$G$18
✓,Chrome Host Seedshark,Creature — Phyrexian Shark,U,View,gogey,$I$38
,Forensic Gadgeteer,Creature — Vedalken Artificer Detective,U,View,,
,"Kiora, the Rising Tide",Legendary Creature — Merfolk Noble,U,View,,
✓,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,U,View,tendertouch,$K$48
✓,Vendilion Clique,Legendary Creature — Faerie Wizard,U,View,gogey,$I$34
,Displacer Kitten,Creature — Cat Beast,U,View,,
✓,Enduring Curiosity,Enchantment Creature — Cat Glimmer,U,View,dkriddles,$G$40
✓,Micromancer,Creature — Human Wizard,U,View,aviseras,$L$16
✓,Subtlety,Creature — Elemental Incarnation,U,View,gogey,$I$16
✓,"Urza, Lord High Artificer",Legendary Creature — Human Artificer,U,View,gogey,$I$5
✓,"Venser, Shaper Savant",Legendary Creature — Human Wizard,U,View,aviseras,$L$37
✓,Quantum Riddler,Creature — Sphinx,U,View,gogey,$I$7
✓,Kappa Cannoneer,Artifact Creature — Turtle Warrior,U,View,gogey,$I$47
✓,Torrential Gearhulk,Artifact Creature — Construct,U,View,gogey,$I$25
✓,Brainstorm,Instant,U,View,gogey,$I$15
✓,Consider,Instant,U,View,gogey,$I$41
✓,Fading Hope,Instant,U,View,gogey,$I$32
,Opt,Instant,U,View,,
✓,Spell Pierce,Instant,U,View,dkriddles,$G$14
✓,Stern Scolding,Instant,U,View,gogey,$I$24
,Thought Scour,Instant,U,View,,
✓,Three Steps Ahead,Instant,U,View,aviseras,$L$36
✓,Counterspell,Instant,U,View,gogey,$I$21
✓,Make Disappear,Instant,U,View,dkriddles,$G$28
✓,Mana Leak,Instant,U,View,gogey,$I$4
✓,Memory Lapse,Instant,U,View,gogey,$I$6
✓,Miscalculation,Instant,U,View,gogey,$I$30
✓,Remand,Instant,U,View,gogey,$I$8
,Brainsurge,Instant,U,View,,
✓,Sink into Stupor,Instant,U,View,gogey,$I$26
✓,Cryptic Command,Instant,U,View,gogey,$I$12
✓,Intrude on the Mind,Instant,U,View,gogey,$I$42
✓,Mystic Confluence,Instant,U,View,gogey,$I$14
✓,Sublime Epiphany,Instant,U,View,gogey,$I$23
✓,Commit // Memory,Instant,U,View,gogey,$I$28
✓,Hard Evidence,Sorcery,U,View,gogey,$I$29
✓,Ponder,Sorcery,U,View,gogey,$I$17
✓,Chart a Course,Sorcery,U,View,tendertouch,$K$25
✓,Stock Up,Sorcery,U,View,tendertouch,$K$12
✓,Winternight Stories,Sorcery,U,View,clorpy,$J$45
✓,Lórien Revealed,Sorcery,U,View,gogey,$I$9
✓,Temporal Manipulation,Sorcery,U,View,tendertouch,$K$11
✓,Time Warp,Sorcery,U,View,tendertouch,$K$10
✓,Treasure Cruise,Sorcery,U,View,dkriddles,$G$36
✓,Aether Spellbomb,Artifact,U,View,dkriddles,$G$37
✓,Astrologian's Planisphere,Artifact — Equipment,U,View,gogey,$I$19
✓,Cryptic Coat,Artifact — Equipment,U,View,aviseras,$L$34
,Stormchaser's Talent,Enchantment — Class,U,View,,
✓,Unable to Scream,Enchantment — Aura,U,View,gogey,$I$36
,Proft's Eidetic Memory,Legendary Enchantment,U,View,,
✓,Shark Typhoon,Enchantment,U,View,gogey,$I$33
✓,"Narset, Parter of Veils",Legendary Planeswalker — Narset,U,View,gogey,$I$39
✓,"Jace, the Mind Sculptor",Legendary Planeswalker — Jace,U,View,dkriddles,$G$41
✓,Mystic Sanctuary,Land — Island,U,View,gogey,$I$18
✓,"Otawara, Soaring City",Legendary Land,U,View,gogey,$I$22
✓,Bloodsoaked Champion,Creature — Human Warrior,B,View,ILIJILILI,$D$28
✓,Concealing Curtains,Creature — Wall,B,View,lastabzan,$F$35
✓,Forsaken Miner,Creature — Skeleton Rogue,B,View,ILIJILILI,$D$22
✓,Knight of the Ebon Legion,Creature — Vampire Knight,B,View,ILIJILILI,$D$48
✓,Nethergoyf,Creature — Lhurgoyf,B,View,philjackson,$H$33
✓,Blade of the Oni,Artifact Creature — Equipment Demon,B,View,tendertouch,$K$44
✓,Bloodghast,Creature — Vampire Spirit,B,View,ILIJILILI,$D$23
✓,Caustic Bronco,Creature — Snake Horse Mount,B,View,lastabzan,$F$40
✓,Dark Confidant,Creature — Human Wizard,B,View,philjackson,$H$18
✓,Dauthi Voidwalker,Creature — Dauthi Rogue,B,View,tendertouch,$K$7
✓,Deep-Cavern Bat,Creature — Bat,B,View,tendertouch,$K$18
✓,Emperor of Bones,Creature — Skeleton Noble,B,View,philjackson,$H$6
✓,"Jadar, Ghoulcaller of Nephalia",Legendary Creature — Human Wizard,B,View,ILIJILILI,$D$25
✓,Marionette Apprentice,Creature — Human Artificer,B,View,lastabzan,$F$10
✓,Priest of Forgotten Gods,Creature — Human Cleric,B,View,ILIJILILI,$D$16
,Scourge of the Skyclaves,Creature — Demon,B,View,,
,Sinkhole Surveyor,Creature — Bird Scout,B,View,,
,Sunset Saboteur,Creature — Human Rogue,B,View,,
✓,Tenacious Underdog,Creature — Human Warrior,B,View,philjackson,$H$22
✓,Umbral Collar Zealot,Creature — Human Cleric,B,View,lastabzan,$F$17
,Abyssal Harvester,Creature — Demon Warlock,B,View,,
✓,Barrowgoyf,Creature — Lhurgoyf,B,View,philjackson,$H$5
✓,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,tendertouch,$K$37
✓,Ophiomancer,Creature — Human Shaman,B,View,tendertouch,$K$42
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,philjackson,$H$27
✓,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,tendertouch,$K$38
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,ILIJILILI,$D$10
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,ILIJILILI,$D$46
✓,Woe Strider,Creature — Horror,B,View,ILIJILILI,$D$45
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,philjackson,$H$40
✓,Elegy Acolyte,Creature — Human Cleric,B,View,philjackson,$H$26
✓,Grief,Creature — Elemental Incarnation,B,View,ILIJILILI,$D$43
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,philjackson,$H$45
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,tendertouch,$K$6
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,ILIJILILI,$D$12
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,tendertouch,$K$9
✓,Crabomination,Creature — Crab Demon,B,View,tendertouch,$K$4
✓,Grave Titan,Creature — Giant,B,View,ILIJILILI,$D$47
✓,Troll of Khazad-dûm,Creature — Troll,B,View,ILIJILILI,$D$7
✓,Cut Down,Instant,B,View,ILIJILILI,$D$19
✓,Dark Ritual,Instant,B,View,tendertouch,$K$8
✓,Fatal Push,Instant,B,View,philjackson,$H$9
✓,Bitter Triumph,Instant,B,View,lastabzan,$F$15
✓,Go for the Throat,Instant,B,View,ILIJILILI,$D$31
✓,Infernal Grasp,Instant,B,View,philjackson,$H$15
✓,Sheoldred's Edict,Instant,B,View,philjackson,$H$29
✓,Dismember,Instant,B,View,dkriddles,$G$8
✓,Saw in Half,Instant,B,View,tendertouch,$K$45
✓,Fell the Profane,Instant,B,View,tendertouch,$K$34
✓,Pile On,Instant,B,View,lastabzan,$F$41
✓,Murderous Cut,Instant,B,View,ILIJILILI,$D$41
✓,Bloodchief's Thirst,Sorcery,B,View,lastabzan,$F$33
✓,Bone Shards,Sorcery,B,View,ILIJILILI,$D$20
✓,Duress,Sorcery,B,View,philjackson,$H$34
✓,Inquisition of Kozilek,Sorcery,B,View,lastabzan,$F$27
✓,Reanimate,Sorcery,B,View,ILIJILILI,$D$4
✓,Thoughtseize,Sorcery,B,View,ILIJILILI,$D$5
✓,Unearth,Sorcery,B,View,philjackson,$H$14
✓,Demonic Tutor,Sorcery,B,View,lastabzan,$F$4
✓,Fell,Sorcery,B,View,philjackson,$H$25
✓,Persist,Sorcery,B,View,tendertouch,$K$39
✓,Quag Feast,Sorcery,B,View,tendertouch,$K$15
✓,Toxic Deluge,Sorcery,B,View,tendertouch,$K$14
✓,Damnation,Sorcery,B,View,lastabzan,$F$34
✓,Scavenger's Talent,Enchantment — Class,B,View,lastabzan,$F$30
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,lastabzan,$F$12
✓,Chthonian Nightmare,Enchantment,B,View,lastabzan,$F$11
✓,The Meathook Massacre,Legendary Enchantment,B,View,lastabzan,$F$9
✓,Necromancy,Enchantment,B,View,tendertouch,$K$19
✓,Virtue of Persistence,Enchantment,B,View,tendertouch,$K$35
✓,Unholy Annex // Ritual Chamber,Enchantment — Room,B,View,tendertouch,$K$13
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,philjackson,$H$23
✓,Phyrexian Tower,Legendary Land,B,View,lastabzan,$F$44
✓,Spymaster's Vault,Land,B,View,lastabzan,$F$45
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,dkriddles,$G$44
✓,Greasewrench Goblin,Creature — Goblin Artificer,R,View,dkriddles,$G$46
✓,Grim Lavamancer,Creature — Human Wizard,R,View,dkriddles,$G$30
,Heartfire Hero,Creature — Mouse Soldier,R,View,,
✓,Hired Claw,Creature — Lizard Mercenary,R,View,adhavoc,$E$45
,Kavaron Harrier,Artifact Creature — Robot Soldier,R,View,,
,Marauding Mako,Creature — Shark Pirate,R,View,,
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,dkriddles,$G$4
,Voldaren Epicure,Creature — Vampire,R,View,,
✓,Bloodthirsty Adversary,Creature — Vampire,R,View,dkriddles,$G$19
,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,,
✓,Earthshaker Khenra,Creature — Jackal Warrior,R,View,dkriddles,$G$42
,Emberheart Challenger,Creature — Mouse Warrior,R,View,,
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,philjackson,$H$13
,Generous Plunderer,Creature — Human Rogue,R,View,,
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,philjackson,$H$10
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,lastabzan,$F$48
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,dkriddles,$G$21
✓,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,dkriddles,$G$25
✓,"Magda, the Hoardmaster",Legendary Creature — Dwarf Berserker,R,View,dkriddles,$G$39
,Robber of the Rich,Creature — Human Archer Rogue,R,View,,
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,ILIJILILI,$D$34
,Searslicer Goblin,Creature — Goblin Warrior,R,View,,
✓,Bonecrusher Giant,Creature — Giant,R,View,dkriddles,$G$15
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,adhavoc,$E$23
,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,,
✓,"Gut, True Soul Zealot",Legendary Creature — Goblin Shaman,R,View,ILIJILILI,$D$6
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,dkriddles,$G$11
✓,Rampaging Ferocidon,Creature — Dinosaur,R,View,adhavoc,$E$43
✓,Screaming Nemesis,Creature — Spirit,R,View,dkriddles,$G$27
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,adhavoc,$E$20
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,dkriddles,$G$43
✓,Voldaren Thrillseeker,Creature — Vampire Warrior,R,View,philjackson,$H$48
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,dkriddles,$G$5
,Rampaging Raptor,Creature — Dinosaur,R,View,,
,Bonehoard Dracosaur,Creature — Dinosaur Dragon,R,View,,
✓,Fury,Creature — Elemental Incarnation,R,View,dkriddles,$G$9
✓,Glorybringer,Creature — Dragon,R,View,dkriddles,$G$33
,Goldspan Dragon,Creature — Dragon,R,View,,
