✓,Card,Type,Color,View,Picked By,
✓,"Tourach, Dread Cantor",Legendary Creature — Human Cleric,B,View,Lame4Fame,$L$37
,"Gix, Yawgmoth Praetor",Legendary Creature — Phyrexian Praetor,B,View,,
✓,Ophiomancer,Creature — Human Shaman,B,View,Max,$D$35
✓,Preacher of the Schism,Creature — Vampire Cleric,B,View,Lame4Fame,$L$23
✓,Raven Eagle,Creature — Bird Assassin,B,View,baronvonfonz,$E$21
,Rotting Regisaur,Creature — Zombie Dinosaur,B,View,,
✓,"Sephiroth, Fabled SOLDIER",Legendary Creature — Human Avatar Soldier,B,View,Max,$D$12
✓,Warren Soultrader,Creature — Zombie Goblin Wizard,B,View,Max,$D$28
✓,Archfiend of the Dross,Creature — Phyrexian Demon,B,View,Lame4Fame,$L$41
✓,Grief,Creature — Elemental Incarnation,B,View,Max,$D$6
✓,Hostile Investigator,Creature — Ogre Rogue Detective,B,View,baronvonfonz,$E$35
✓,Ravenous Chupacabra,Creature — Beast Horror,B,View,Max,$D$34
✓,"Sheoldred, the Apocalypse",Legendary Creature — Phyrexian Praetor,B,View,Last Abzan,$J$5
✓,"Yawgmoth, Thran Physician",Legendary Creature — Human Cleric,B,View,Max,$D$9
✓,Overlord of the Balemurk,Enchantment Creature — Avatar Horror,B,View,Max,$D$24
✓,Crabomination,Creature — Crab Demon,B,View,Lame4Fame,$L$19
✓,Grave Titan,Creature — Giant,B,View,Lame4Fame,$L$46
✓,Troll of Khazad-dûm,Creature — Troll,B,View,Last Abzan,$J$15
✓,Cut Down,Instant,B,View,Last Abzan,$J$8
✓,Dark Ritual,Instant,B,View,Lame4Fame,$L$10
✓,Fatal Push,Instant,B,View,baronvonfonz,$E$7
✓,Bitter Triumph,Instant,B,View,Last Abzan,$J$21
✓,Go for the Throat,Instant,B,View,Lame4Fame,$L$31
,Infernal Grasp,Instant,B,View,,
✓,Power Word Kill,Instant,B,View,Greg,$G$46
✓,Sheoldred's Edict,Instant,B,View,Last Abzan,$J$37
✓,Shoot the Sheriff,Instant,B,View,Last Abzan,$J$30
✓,Dismember,Instant,B,View,Jack,$K$7
✓,Fell the Profane,Instant,B,View,baronvonfonz,$E$32
,Pile On,Instant,B,View,,
✓,Snuff Out,Instant,B,View,Max,$D$8
✓,Murderous Cut,Instant,B,View,Lame4Fame,$L$26
✓,Bloodchief's Thirst,Sorcery,B,View,Lame4Fame,$L$33
✓,Bone Shards,Sorcery,B,View,Max,$D$17
✓,Duress,Sorcery,B,View,Lame4Fame,$L$12
✓,Inquisition of Kozilek,Sorcery,B,View,Last Abzan,$J$7
✓,Reanimate,Sorcery,B,View,Max,$D$4
✓,Thoughtseize,Sorcery,B,View,Max,$D$5
✓,Unearth,Sorcery,B,View,Max,$D$10
✓,Collective Brutality,Sorcery,B,View,Max,$D$29
✓,Demonic Tutor,Sorcery,B,View,baronvonfonz,$E$5
✓,Persist,Sorcery,B,View,Max,$D$45
✓,Quag Feast,Sorcery,B,View,Max,$D$43
✓,Toxic Deluge,Sorcery,B,View,baronvonfonz,$E$15
✓,Damnation,Sorcery,B,View,baronvonfonz,$E$8
✓,Gix's Command,Sorcery,B,View,Lame4Fame,$L$28
✓,Scavenger's Talent,Enchantment — Class,B,View,Max,$D$44
✓,Bitterblossom,Kindred Enchantment — Faerie,B,View,Max,$D$30
✓,Chthonian Nightmare,Enchantment,B,View,Max,$D$22
✓,The Meathook Massacre,Legendary Enchantment,B,View,Max,$D$25
✓,Necromancy,Enchantment,B,View,Max,$D$7
✓,Virtue of Persistence,Enchantment,B,View,baronvonfonz,$E$29
✓,Liliana of the Veil,Legendary Planeswalker — Liliana,B,View,Max,$D$32
✓,Phyrexian Tower,Legendary Land,B,View,Max,$D$16
✓,Spymaster's Vault,Land,B,View,Last Abzan,$J$24
✓,Dragon's Rage Channeler,Creature — Human Shaman,R,View,Oophies,$F$16
✓,Grim Lavamancer,Creature — Human Wizard,R,View,Last Abzan,$J$29
✓,Heartfire Hero,Creature — Mouse Soldier,R,View,Jack Heart,$C$17
✓,Hired Claw,Creature — Lizard Mercenary,R,View,Jack Heart,$C$20
,Marauding Mako,Creature — Shark Pirate,R,View,,
✓,Monastery Swiftspear,Creature — Human Monk,R,View,Last Abzan,$J$31
✓,Rabbit Battery,Artifact Creature — Equipment Rabbit,R,View,Last Abzan,$J$35
✓,"Ragavan, Nimble Pilferer",Legendary Creature — Monkey Pirate,R,View,Last Abzan,$J$4
✓,Soul-Scar Mage,Creature — Human Wizard,R,View,Oophies,$F$37
,Voldaren Epicure,Creature — Vampire,R,View,,
✓,Amped Raptor,Creature — Dinosaur,R,View,Oophies,$F$30
,Bloodthirsty Adversary,Creature — Vampire,R,View,,
,Dragonkin Berserker,Creature — Human Berserker,R,View,,
✓,Dreadhorde Arcanist,Creature — Zombie Wizard,R,View,Last Abzan,$J$25
,Earthshaker Khenra,Creature — Jackal Warrior,R,View,,
✓,Emberheart Challenger,Creature — Mouse Warrior,R,View,Jack Heart,$C$27
✓,Fear of Missing Out,Enchantment Creature — Nightmare,R,View,Jack Heart,$C$7
✓,Generous Plunderer,Creature — Human Rogue,R,View,Last Abzan,$J$47
✓,"Inti, Seneschal of the Sun",Legendary Creature — Human Knight,R,View,Jack Heart,$C$6
✓,"Ivora, Insatiable Heir",Legendary Creature — Vampire Warrior,R,View,Jack Heart,$C$28
✓,"Kari Zev, Skyship Raider",Legendary Creature — Human Pirate,R,View,Last Abzan,$J$13
,"Magda, Brazen Outlaw",Legendary Creature — Dwarf Berserker,R,View,,
✓,Robber of the Rich,Creature — Human Archer Rogue,R,View,Last Abzan,$J$28
✓,Scrapwork Mutt,Artifact Creature — Dog,R,View,Max,$D$36
✓,Bonecrusher Giant,Creature — Giant,R,View,Jack Heart,$C$32
✓,Detective's Phoenix,Enchantment Creature — Phoenix,R,View,Last Abzan,$J$9
✓,Goblin Rabblemaster,Creature — Goblin Warrior,R,View,Last Abzan,$J$45
✓,"Laelia, the Blade Reforged",Legendary Creature — Spirit Warrior,R,View,Oophies,$F$7
,Rampaging Ferocidon,Creature — Dinosaur,R,View,,
✓,Screaming Nemesis,Creature — Spirit,R,View,Last Abzan,$J$17
✓,Seasoned Pyromancer,Creature — Human Shaman,R,View,Oophies,$F$9
✓,Tersa Lightshatter,Legendary Creature — Orc Wizard,R,View,Jack Heart,$C$29
,Pia and Kiran Nalaar,Legendary Creature — Human Artificer,R,View,,
✓,Pyrogoyf,Creature — Lhurgoyf,R,View,Jack Heart,$C$4
✓,Rampaging Raptor,Creature — Dinosaur,R,View,Last Abzan,$J$46
✓,Fury,Creature — Elemental Incarnation,R,View,Oophies,$F$5
✓,Glorybringer,Creature — Dragon,R,View,Jack Heart,$C$35
,Goldspan Dragon,Creature — Dragon,R,View,,
✓,Oliphaunt,Creature — Elephant,R,View,Oophies,$F$19
,Overlord of the Boilerbilges,Enchantment Creature — Avatar Horror,R,View,,
✓,Trumpeting Carnosaur,Creature — Dinosaur,R,View,Max,$D$41
✓,Burst Lightning,Instant,R,View,Last Abzan,$J$20
✓,Fire Magic,Instant,R,View,Oophies,$F$27
✓,Galvanic Discharge,Instant,R,View,Oophies,$F$15
✓,Lightning Bolt,Instant,R,View,Jack Heart,$C$5
✓,Monstrous Rage,Instant,R,View,Jack Heart,$C$22
✓,Torch the Tower,Instant,R,View,Jack Heart,$C$36
✓,Unholy Heat,Instant,R,View,Jack Heart,$C$19
✓,Abrade,Instant,R,View,Greg,$G$42
✓,Ghostfire Slice,Instant,R,View,Greg,$G$36
✓,Mine Collapse,Instant,R,View,Last Abzan,$J$18
✓,Fireblast,Instant,R,View,Last Abzan,$J$42
✓,Chain Lightning,Sorcery,R,View,Oophies,$F$13
✓,Faithless Looting,Sorcery,R,View,Last Abzan,$J$40
✓,Flame Slash,Sorcery,R,View,Oophies,$F$17
✓,Mizzium Mortars,Sorcery,R,View,Greg,$G$38
✓,Scorching Shot,Sorcery,R,View,Jack Heart,$C$45
✓,Fiery Confluence,Sorcery,R,View,Last Abzan,$J$27
,Pyrite Spellbomb,Artifact,R,View,,
✓,Chainsaw,Artifact — Equipment,R,View,Last Abzan,$J$33
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,Oophies,$F$6
,Legion Extruder,Artifact,R,View,,
✓,Embercleave,Legendary Artifact — Equipment,R,View,Last Abzan,$J$12
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,Last Abzan,$J$23
✓,Artist's Talent,Enchantment — Class,R,View,Oophies,$F$45
✓,Goblin Bombardment,Enchantment,R,View,Last Abzan,$J$11
,Underworld Breach,Enchantment,R,View,,
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Oophies,$F$4
,Fires of Invention,Enchantment,R,View,,
✓,The Legend of Roku,Enchantment — Saga,R,View,Oophies,$F$29
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,Oophies,$F$33
✓,Arena of Glory,Land,R,View,Last Abzan,$J$10
✓,Birds of Paradise,Creature — Bird,G,View,Neo,$I$6
✓,Delighted Halfling,Creature — Halfling Citizen,G,View,Neo,$I$7
✓,Elvish Mystic,Creature — Elf Druid,G,View,Greg,$G$23
✓,Llanowar Elves,Creature — Elf Druid,G,View,Neo,$I$14
✓,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,Jack Heart,$C$47
✓,Sazh's Chocobo,Creature — Bird,G,View,Jack Heart,$C$26
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,Neo,$I$9
✓,Aftermath Analyst,Creature — Elf Detective,G,View,Greg,$G$27
✓,Badgermole Cub,Creature — Badger Mole,G,View,Greg,$G$9
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,Jack Heart,$C$10
,Cankerbloom,Creature — Phyrexian Fungus,G,View,,
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,Jack Heart,$C$16
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,Neo,$I$42
✓,Lotus Cobra,Creature — Snake,G,View,Greg,$G$18
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,Greg,$G$43
✓,Scavenging Ooze,Creature — Ooze,G,View,Jack Heart,$C$39
✓,Scythecat Cub,Creature — Cat,G,View,Jack Heart,$C$9
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,Greg,$G$15
✓,Sylvan Caryatid,Creature — Plant,G,View,Greg,$G$26
✓,Tarmogoyf,Creature — Lhurgoyf,G,View,baronvonfonz,$E$47
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,Neo,$I$45
✓,Town Greeter,Creature — Human Citizen,G,View,Neo,$I$35
✓,Voracious Hydra,Creature — Hydra,G,View,Neo,$I$30
✓,Briarbridge Tracker,Creature — Human Scout,G,View,baronvonfonz,$E$36
✓,Endurance,Creature — Elemental Incarnation,G,View,baronvonfonz,$E$37
✓,Eternal Witness,Creature — Human Shaman,G,View,baronvonfonz,$E$12
✓,"Nissa, Resurgent Animist",Legendary Creature — Elf Scout,G,View,Greg,$G$33
✓,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,Greg,$G$19
✓,Sandstorm Salvager,Creature — Human Artificer,G,View,Neo,$I$32
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,Neo,$I$15
✓,Six,Legendary Creature — Treefolk,G,View,Greg,$G$25
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,Jack Heart,$C$43
✓,Tireless Tracker,Creature — Human Scout,G,View,baronvonfonz,$E$23
✓,Traveling Chocobo,Creature — Bird,G,View,Jack Heart,$C$25
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,Neo,$I$34
✓,Icetill Explorer,Creature — Insect Scout,G,View,Greg,$G$5
✓,Questing Beast,Legendary Creature — Beast,G,View,Neo,$I$28
✓,Sazh Katzroy,Legendary Creature — Human Pilot,G,View,Neo,$I$25
✓,The Earth King,Legendary Creature — Human Noble Ally,G,View,Jack Heart,$C$24
✓,Timeless Witness,Creature — Human Shaman,G,View,baronvonfonz,$E$38
,Ulvenwald Oddity,Creature — Beast,G,View,,
✓,Balustrade Wurm,Creature — Wurm,G,View,Greg,$G$45
✓,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,Greg,$G$24
✓,Thragtusk,Creature — Beast,G,View,baronvonfonz,$E$16
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,Greg,$G$8
✓,Generous Ent,Creature — Treefolk,G,View,Greg,$G$35
✓,Primeval Titan,Creature — Giant,G,View,Greg,$G$44
,Titan of Industry,Creature — Elemental,G,View,,
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,Max,$D$46
✓,Tyvar's Stand,Instant,G,View,Jack Heart,$C$42
✓,Inscription of Abundance,Instant,G,View,Neo,$I$41
✓,Green Sun's Zenith,Sorcery,G,View,Greg,$G$37
✓,Pest Infestation,Sorcery,G,View,Greg,$G$34
✓,Primal Might,Sorcery,G,View,Jack Heart,$C$44
✓,Valgavoth's Onslaught,Sorcery,G,View,Neo,$I$37
✓,Esper Origins,Sorcery,G,View,Jack Heart,$C$21
✓,Malevolent Rumble,Sorcery,G,View,Jack Heart,$C$14
✓,Lumbering Worldwagon,Artifact — Vehicle,G,View,Neo,$I$16
✓,Esika's Chariot,Legendary Artifact — Vehicle,G,View,Neo,$I$22
✓,The Great Henge,Legendary Artifact,G,View,Neo,$I$46
✓,Utopia Sprawl,Enchantment — Aura,G,View,Greg,$G$7
✓,Birthing Ritual,Enchantment,G,View,Neo,$I$27
✓,Hunter's Talent,Enchantment — Class,G,View,Neo,$I$17
✓,Innkeeper's Talent,Enchantment — Class,G,View,Jack Heart,$C$31
✓,Ranger Class,Enchantment — Class,G,View,Jack Heart,$C$34
✓,Earthbender Ascension,Enchantment,G,View,Jack Heart,$C$18
✓,"Nissa, Who Shakes the World",Legendary Planeswalker — Nissa,G,View,Neo,$I$43
✓,"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,G,View,Neo,$I$47
✓,"Boseiju, Who Endures",Legendary Land,G,View,Neo,$I$38
✓,Shifting Woodland,Land,G,View,Jack Heart,$C$40
✓,"Spider-Woman, Stunning Savior",Legendary Creature — Spider Human Hero,WU,View,Bludac,$H$11
✓,"Aang, Swift Savior",Legendary Creature — Human Avatar Ally,WU,View,Neo,$I$31
✓,"Plagon, Lord of the Beach",Legendary Creature — Starfish Wizard,WU,View,Greg,$G$31
,"Tameshi, Reality Architect",Legendary Creature — Moonfolk Wizard,WU,View,,
✓,"Yorion, Sky Nomad",Legendary Creature — Bird Serpent,WU,View,Neo,$I$24
✓,No More Lies,Instant,WU,View,Jack,$K$42
✓,Talisman of Progress,Artifact,WU,View,Jack,$K$46
✓,Assimilation Aegis,Artifact — Equipment,WU,View,Neo,$I$18
✓,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,WU,View,Jack,$K$14
✓,"Teferi, Hero of Dominaria",Legendary Planeswalker — Teferi,WU,View,Jack,$K$40
✓,Celestial Colonnade,Land,WU,View,Jack,$K$41
✓,Hallowed Fountain,Land — Plains Island,WU,View,Jack,$K$38
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,Jack,$K$17
✓,Meticulous Archive,Land — Plains Island,WU,View,Jack,$K$29
,Seachrome Coast,Land,WU,View,,
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,Lame4Fame,$L$25
,Priest of Fell Rites,Creature — Human Warlock,WB,View,,
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,baronvonfonz,$E$41
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,Bludac,$H$13
,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,,
✓,Vanishing Verse,Instant,WB,View,baronvonfonz,$E$30
✓,Damn,Sorcery,WB,View,baronvonfonz,$E$22
✓,Lingering Souls,Sorcery,WB,View,baronvonfonz,$E$44
✓,Concealed Courtyard,Land,WB,View,baronvonfonz,$E$46
✓,Godless Shrine,Land — Plains Swamp,WB,View,baronvonfonz,$E$31
,Godless Shrine 2,Land — Plains Swamp,WB,View,,
✓,Restless Fortress,Land,WB,View,baronvonfonz,$E$40
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,baronvonfonz,$E$34
,Figure of Destiny,Creature — Kithkin,WR,View,,
